Applicant_ID,Gender,Age,Marital_Status,Dependents,Education,Employment_Status,Occupation_Type,City/Town,Annual_Income,Monthly_Expenses,Credit_Score,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Loan_Amount_Requested,Loan_Term,Loan_Purpose,Interest_Rate,Co-Applicant,Transaction_Frequency,Default_Risk,Loan_Approval_Status
4,Female,28,Married,0,High School,Self-Employed,Freelancer,Suburban,137853,2732,778,0,42016,28608,1,33937,39,Personal,8.77,No,16,0.27,1
6,Male,49,Single,2,Postgraduate,Employed,Freelancer,Urban,149372,2976,793,0,2635,4453,0,30056,111,Education,4.98,Yes,14,0.99,1
7,Female,41,Married,0,High School,Employed,Salaried,Rural,123266,1118,707,0,15843,28872,0,34707,192,Personal,7.35,Yes,13,0.56,1
10,Male,61,Single,3,Postgraduate,Employed,Freelancer,Urban,38330,4523,599,2,4325,19381,0,15084,164,Personal,14.07,No,19,0.22,1
13,Male,54,Married,3,Graduate,Employed,Business,Suburban,39362,2534,332,2,40843,9411,0,13170,203,Education,5.31,Yes,5,0.63,1
14,Male,39,Single,2,Postgraduate,Self-Employed,Salaried,Urban,114706,3895,789,0,27122,1043,0,31437,234,Education,5.81,Yes,27,0.13,1
15,Male,32,Divorced,0,High School,Employed,Freelancer,Urban,83938,3444,756,1,43969,14421,0,22519,44,Personal,13.39,No,9,0.29,1
18,Male,30,Single,0,High School,Employed,Salaried,Urban,73388,1024,821,0,39869,21641,0,20347,157,Education,8.56,No,25,0.09,1
21,Male,25,Married,1,Graduate,Employed,Salaried,Rural,76173,1323,752,2,3851,29337,0,21185,122,Education,9.65,No,25,0.48,0
22,Female,33,Single,0,Graduate,Employed,Professional,Urban,112335,2636,815,2,19895,24735,0,20804,39,Personal,12.47,No,11,0.26,0
23,Female,29,Married,2,Postgraduate,Employed,Freelancer,Suburban,59576,1966,748,2,2901,16499,0,20000,111,Education,8.27,No,8,0.72,1
